Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,226.949997,226.949997,220.050003,220.699997,215.886398,14092071
2016-01-05,222.800003,222.800003,217.000000,217.750000,213.000732,15074848
2016-01-06,217.899994,219.899994,216.399994,216.850006,212.120377,11921123
2016-01-07,214.000000,214.100006,209.000000,209.550003,204.979584,14342279
2016-01-08,212.000000,212.500000,208.600006,208.949997,204.392670,11745840
2016-01-11,206.800003,207.500000,202.649994,204.300003,199.844086,19287860
2016-01-12,204.850006,205.000000,198.600006,199.399994,195.050949,20318816
2016-01-13,201.350006,202.399994,194.000000,200.899994,196.518250,23788247
2016-01-14,197.000000,201.500000,194.300003,196.050003,191.774017,20256636
2016-01-15,197.800003,197.800003,181.000000,184.300003,180.280304,29090426
2016-01-18,184.899994,188.149994,179.149994,181.000000,177.052277,35653244
2016-01-19,182.149994,187.800003,181.500000,182.949997,178.959747,24501774
2016-01-20,180.649994,180.649994,171.500000,173.649994,169.862579,28655794
2016-01-21,177.000000,178.649994,172.050003,175.600006,171.770050,28697205
2016-01-22,179.899994,185.399994,178.300003,184.600006,180.573761,21432409
2016-01-25,187.899994,188.800003,182.500000,182.949997,178.959747,17534650
2016-01-27,182.949997,186.199997,181.050003,184.399994,180.378113,16569813
2016-01-28,184.199997,185.899994,182.500000,185.250000,181.209595,20241030
2016-01-29,184.199997,185.750000,178.100006,179.899994,175.976257,24259147
2016-02-01,181.949997,181.949997,172.100006,172.750000,168.982208,22915269
2016-02-02,173.100006,177.399994,168.600006,169.399994,165.705276,35957332
2016-02-03,167.800003,167.800003,163.250000,166.050003,162.428345,24132003
2016-02-04,169.300003,169.800003,160.199997,162.850006,159.298141,23811109
2016-02-05,163.699997,169.300003,162.199997,168.199997,164.531448,22732245
2016-02-08,169.449997,176.899994,168.550003,172.149994,168.395294,22289005
2016-02-09,168.000000,172.399994,166.100006,167.050003,163.406540,19008384
2016-02-10,165.000000,166.199997,158.000000,159.000000,155.532104,32294785
2016-02-11,159.500000,167.500000,152.199997,154.250000,150.885712,72749830
2016-02-12,156.149994,157.649994,148.250000,154.800003,151.423721,41187889
2016-02-15,159.000000,170.000000,158.000000,167.850006,164.189087,35956266
2016-02-16,170.750000,170.750000,155.649994,156.399994,152.988800,33816243
2016-02-17,155.000000,159.850006,151.250000,158.949997,155.483200,32447698
2016-02-18,161.949997,163.699997,156.399994,159.800003,156.314667,21024178
2016-02-19,157.899994,165.300003,157.100006,164.699997,161.107773,24592575
2016-02-22,165.949997,166.800003,163.699997,164.949997,161.352325,15815058
2016-02-23,165.000000,165.000000,158.000000,158.500000,155.043015,20200068
2016-02-24,156.000000,160.699997,155.300003,156.300003,152.890991,19440950
2016-02-25,157.600006,158.100006,151.000000,151.800003,148.489151,22713124
2016-02-26,155.500000,158.699997,152.550003,155.899994,152.499710,30051402
2016-02-29,158.199997,163.899994,153.000000,158.750000,155.287567,66981910
2016-03-01,160.500000,162.899994,158.550003,162.050003,158.515594,23588231
2016-03-02,172.500000,183.199997,172.500000,181.149994,177.199005,53333757
2016-03-03,184.000000,184.600006,178.500000,182.750000,178.764114,33507048
2016-03-04,183.399994,189.850006,178.500000,188.399994,184.290863,38860711
2016-03-08,188.399994,188.399994,181.399994,183.350006,179.351028,27928279
2016-03-09,180.000000,184.000000,178.699997,183.399994,179.399918,29453018
2016-03-10,184.750000,184.750000,179.399994,180.500000,176.563171,20472928
2016-03-11,180.000000,182.649994,177.550003,180.100006,176.171906,21869157
2016-03-14,182.449997,183.399994,180.699997,181.750000,177.785919,14369755
2016-03-15,181.649994,186.199997,181.649994,185.300003,181.258499,22369600
2016-03-16,185.000000,185.899994,181.600006,185.199997,181.160675,19237834
2016-03-17,188.000000,189.300003,185.000000,186.350006,182.285599,21560986
2016-03-18,186.850006,192.000000,186.000000,191.250000,187.078720,21144216
2016-03-21,193.000000,197.300003,193.000000,196.800003,192.507660,20678069
2016-03-22,196.800003,198.250000,194.500000,197.500000,193.192413,16728809
2016-03-23,196.899994,197.600006,195.300003,196.600006,192.312027,13362780
2016-03-28,196.600006,198.250000,187.649994,188.300003,184.193054,19760603
2016-03-29,188.500000,191.250000,186.649994,189.500000,185.366898,16804848
2016-03-30,192.250000,198.300003,190.500000,197.550003,193.241318,20709407
2016-03-31,197.850006,198.750000,192.350006,194.250000,190.013290,30132473
2016-04-01,193.699997,197.250000,192.000000,195.649994,191.382736,21752206
2016-04-04,197.300003,197.449997,192.550003,194.699997,190.453461,15732565
2016-04-05,193.899994,194.550003,183.300003,184.350006,180.329208,36635637
2016-04-06,185.000000,185.500000,182.199997,183.850006,179.840118,16350631
2016-04-07,183.800003,185.649994,181.000000,181.949997,177.981552,19430601
2016-04-08,181.649994,183.949997,180.199997,183.100006,179.106476,15805231
2016-04-11,183.850006,188.899994,182.000000,188.250000,184.144150,18990364
2016-04-12,188.500000,190.250000,186.300003,187.800003,183.703964,14563344
2016-04-13,191.550003,193.800003,190.800003,191.899994,187.714523,17573045
2016-04-18,191.899994,191.899994,185.600006,186.750000,182.676865,13985439
2016-04-20,186.750000,188.649994,184.100006,187.300003,183.214874,20163005
2016-04-21,190.500000,197.399994,190.000000,194.350006,190.111115,31008152
2016-04-22,193.600006,201.500000,191.550003,200.149994,195.784592,34049763
2016-04-25,200.949997,202.550003,195.800003,197.050003,192.752228,23835613
2016-04-26,195.949997,201.399994,194.550003,200.949997,196.567154,21809451
2016-04-27,200.899994,200.899994,195.500000,196.149994,191.871841,22801603
2016-04-28,196.750000,198.199997,191.199997,192.050003,187.861267,24555479
2016-04-29,191.899994,194.000000,186.449997,189.000000,184.877792,21021661
2016-05-02,187.600006,188.449997,185.500000,186.000000,181.943222,14469844
2016-05-03,187.000000,189.350006,183.649994,184.050003,180.035751,16247931
2016-05-04,183.500000,184.399994,179.149994,179.949997,176.025177,17826594
2016-05-05,180.250000,182.699997,178.500000,180.350006,176.416458,17742028
2016-05-06,180.949997,184.949997,180.100006,184.350006,180.329208,18336962
2016-05-09,186.500000,189.399994,185.050003,188.699997,184.584320,13863696
2016-05-10,187.600006,190.300003,186.699997,189.500000,185.366898,13845979
2016-05-11,185.399994,188.500000,184.100006,185.000000,180.965042,18128414
2016-05-12,187.100006,189.500000,185.399994,188.500000,184.388687,17398341
2016-05-13,187.949997,187.949997,184.300003,184.850006,180.818298,15546644
2016-05-16,185.000000,185.000000,175.149994,176.800003,172.943878,30937008
2016-05-17,178.500000,178.600006,175.250000,176.850006,172.992783,22183140
2016-05-18,176.899994,180.449997,173.550003,179.949997,176.025177,25345278
2016-05-19,181.000000,181.000000,171.899994,172.699997,168.933289,25480517
2016-05-20,173.500000,174.699997,170.550003,171.350006,167.612747,16720624
2016-05-23,172.300003,172.699997,168.199997,168.399994,164.727081,16193112
2016-05-24,168.800003,170.399994,166.399994,169.500000,165.803101,14816798
2016-05-25,171.500000,175.800003,171.449997,175.100006,171.280960,18900887
2016-05-26,175.100006,185.500000,173.500000,184.149994,180.133560,30700988
2016-05-27,184.000000,202.399994,181.500000,195.899994,191.627289,85585820
2016-05-30,200.199997,203.899994,194.600006,198.850006,194.512970,46075949
2016-05-31,198.800003,205.699997,196.199997,204.949997,200.479919,39457647
2016-06-01,205.949997,208.300003,196.600006,198.250000,193.926041,41868032
2016-06-02,197.850006,202.300003,195.550003,200.550003,196.175873,23499884
2016-06-03,201.000000,202.149994,195.399994,196.600006,194.837982,24568749
2016-06-06,197.449997,202.600006,197.100006,198.899994,197.117355,23623536
2016-06-07,200.449997,211.149994,200.149994,210.149994,208.266541,66063192
